Loan,Region,Rating,EAD,LGD,PD,Alpha,Gamma,Threshold
50,0,3,6940.39,0.2,0.0064,0.53,0.847997642,-2.489285865
51,0,2,159071.42,0.2,0.0006,0.43,0.902828887,-3.238880118
52,0,2,82621.01,0.2,0.0006,0.35,0.9367497,-3.238880118
53,0,3,202387.03,0.2,0.0064,0.73,0.683447145,-2.489285865
54,0,3,75245.87,0.2,0.0064,0.49,0.871722433,-2.489285865
55,0,4,700221.34,0.2,0.0148,0.7,0.714142843,-2.175402064
56,0,4,54892.09,0.2,0.0148,0.38,0.924986486,-2.175402064
57,0,5,36322.9,0.2,0.0568,0.46,0.887918915,-1.582217179
58,0,5,79492.38,0.2,0.0568,0.74,0.672606869,-1.582217179
59,0,3,6868.68,0.2,0.0064,0.62,0.78460181,-2.489285865
60,0,3,360487.02,0.2,0.0064,0.75,0.661437828,-2.489285865
61,0,2,123285.62,0.2,0.0006,0.71,0.704201676,-3.238880118
62,0,4,409021.45,0.2,0.0148,0.24,0.970772888,-2.175402064
63,0,2,32714.48,0.2,0.0006,0.43,0.902828887,-3.238880118
64,0,4,990.99,0.2,0.0148,0.37,0.929031754,-2.175402064
65,0,3,115390.37,0.2,0.0064,0.41,0.912085522,-2.489285865
66,0,3,137626.9,0.2,0.0064,0.32,0.947417543,-2.489285865
67,0,2,2804.18,0.2,0.0006,0.27,0.962860322,-3.238880118
68,0,4,12232.82,0.2,0.0148,0.27,0.962860322,-2.175402064
69,0,3,5857.54,0.2,0.0064,0.33,0.943980932,-2.489285865
70,0,4,46980.41,0.2,0.0148,0.47,0.882666415,-2.175402064
71,0,4,46781.61,0.2,0.0148,0.48,0.877268488,-2.175402064
72,0,3,40384.48,0.2,0.0064,0.56,0.828492607,-2.489285865
73,0,3,198758.08,0.2,0.0064,0.6,0.8,-2.489285865
74,0,2,131714.24,0.2,0.0006,0.2,0.979795897,-3.238880118
75,0,3,71871.63,0.2,0.0064,0.47,0.882666415,-2.489285865
76,0,3,9968.21,0.2,0.0064,0.5,0.866025404,-2.489285865
77,0,4,47086.58,0.2,0.0148,0.79,0.613106842,-2.175402064
78,0,3,35263.13,0.2,0.0064,0.4,0.916515139,-2.489285865
79,0,3,315989.03,0.2,0.0064,0.62,0.78460181,-2.489285865
80,0,5,61372.81,0.2,0.0568,0.67,0.742361098,-1.582217179
81,0,3,71787.11,0.2,0.0064,0.43,0.902828887,-2.489285865
82,0,2,107209,0.2,0.0006,0.25,0.968245837,-3.238880118
83,0,3,20300.35,0.2,0.0064,0.41,0.912085522,-2.489285865
84,0,3,652.85,0.2,0.0064,0.4,0.916515139,-2.489285865
85,0,2,461952.09,0.2,0.0006,0.76,0.649923072,-3.238880118
86,0,4,362099.92,0.2,0.0148,0.57,0.821644692,-2.175402064
87,0,4,50599.51,0.2,0.0148,0.22,0.975499872,-2.175402064
88,0,3,124063.75,0.2,0.0064,0.45,0.893028555,-2.489285865
89,0,3,55614.43,0.2,0.0064,0.53,0.847997642,-2.489285865
90,0,3,162098.2,0.2,0.0064,0.32,0.947417543,-2.489285865
91,0,4,158886.81,0.2,0.0148,0.67,0.742361098,-2.175402064
92,0,2,24902.7,0.2,0.0006,0.71,0.704201676,-3.238880118
93,0,1,7443.28,0.2,0.0002,0.79,0.613106842,-3.540083799
94,0,4,22913.01,0.2,0.0148,0.51,0.860174401,-2.175402064
95,0,3,36915.36,0.2,0.0064,0.28,0.96,-2.489285865
96,0,2,180193.43,0.2,0.0006,0.34,0.940425436,-3.238880118
97,0,1,15643.63,0.2,0.0002,0.56,0.828492607,-3.540083799
98,0,3,102728.87,0.2,0.0064,0.36,0.932952303,-2.489285865
99,0,3,54284.58,0.2,0.0064,0.45,0.893028555,-2.489285865
100,0,1,74563.31,0.2,0.0002,0.56,0.828492607,-3.540083799
101,0,4,176324.92,0.2,0.0148,0.78,0.625779514,-2.175402064
102,0,1,284.9,0.2,0.0002,0.55,0.835164654,-3.540083799
103,0,3,310407.91,0.2,0.0064,0.69,0.723809367,-2.489285865
104,0,4,22146.4,0.2,0.0148,0.44,0.897997773,-2.175402064
105,0,3,112888.09,0.2,0.0064,0.52,0.85416626,-2.489285865
106,0,3,3602.48,0.2,0.0064,0.47,0.882666415,-2.489285865
107,0,3,127637.67,0.2,0.0064,0.49,0.871722433,-2.489285865
108,0,3,96525.57,0.2,0.0064,0.28,0.96,-2.489285865
109,0,1,4335.87,0.2,0.0002,0.57,0.821644692,-3.540083799
110,0,4,117504.83,0.2,0.0148,0.5,0.866025404,-2.175402064
111,0,5,22646.57,0.2,0.0568,0.26,0.965608616,-1.582217179
112,0,4,39226.82,0.2,0.0148,0.7,0.714142843,-2.175402064
113,0,3,209411.46,0.2,0.0064,0.21,0.977701386,-2.489285865
114,0,3,106836.95,0.2,0.0064,0.65,0.759934208,-2.489285865
115,0,3,89179.57,0.2,0.0064,0.25,0.968245837,-2.489285865
116,0,5,74635.95,0.2,0.0568,0.71,0.704201676,-1.582217179
117,0,3,4951.85,0.2,0.0064,0.55,0.835164654,-2.489285865
118,0,3,71120.32,0.2,0.0064,0.41,0.912085522,-2.489285865
119,0,3,310293.48,0.2,0.0064,0.27,0.962860322,-2.489285865
120,0,3,3640.69,0.2,0.0064,0.37,0.929031754,-2.489285865
121,0,2,10661.61,0.2,0.0006,0.5,0.866025404,-3.238880118
122,0,4,23569.84,0.2,0.0148,0.54,0.841665017,-2.175402064
123,0,3,224977.43,0.2,0.0064,0.78,0.625779514,-2.489285865
124,0,2,87953.3,0.2,0.0006,0.64,0.768374908,-3.238880118
125,0,2,43382.81,0.2,0.0006,0.63,0.776595133,-3.238880118
126,0,3,914.23,0.2,0.0064,0.3,0.953939201,-2.489285865
127,0,3,10.65,0.2,0.0064,0.7,0.714142843,-2.489285865
128,0,2,33945.24,0.2,0.0006,0.46,0.887918915,-3.238880118
129,0,4,8213.89,0.2,0.0148,0.78,0.625779514,-2.175402064
130,0,6,45934.37,0.2,0.0768,0.39,0.920814857,-1.426930252
131,0,3,63060.47,0.2,0.0064,0.3,0.953939201,-2.489285865
132,0,3,55365.28,0.2,0.0064,0.34,0.940425436,-2.489285865
133,0,2,66130.82,0.2,0.0006,0.34,0.940425436,-3.238880118
134,0,3,68514.16,0.2,0.0064,0.73,0.683447145,-2.489285865
135,0,4,6611.9,0.2,0.0148,0.33,0.943980932,-2.175402064
136,0,4,47445.95,0.2,0.0148,0.41,0.912085522,-2.175402064
137,0,3,61666.4,0.2,0.0064,0.36,0.932952303,-2.489285865
138,0,4,154658.19,0.2,0.0148,0.75,0.661437828,-2.175402064
139,0,3,175799.99,0.2,0.0064,0.32,0.947417543,-2.489285865
140,0,1,8067.74,0.2,0.0002,0.53,0.847997642,-3.540083799
141,0,4,26894.81,0.2,0.0148,0.36,0.932952303,-2.175402064
142,0,3,35820.97,0.2,0.0064,0.27,0.962860322,-2.489285865
143,0,5,13363.21,0.2,0.0568,0.21,0.977701386,-1.582217179
144,0,3,41094.27,0.2,0.0064,0.26,0.965608616,-2.489285865
145,0,3,4396.09,0.2,0.0064,0.51,0.860174401,-2.489285865
146,0,4,28524.79,0.2,0.0148,0.73,0.683447145,-2.175402064
147,0,4,35906.03,0.2,0.0148,0.63,0.776595133,-2.175402064
148,0,3,29661.23,0.2,0.0064,0.3,0.953939201,-2.489285865
149,0,3,46786.96,0.2,0.0064,0.35,0.9367497,-2.489285865
150,0,3,83843.11,0.2,0.0064,0.33,0.943980932,-2.489285865
151,0,3,145827,0.2,0.0064,0.39,0.920814857,-2.489285865
152,0,2,77209.95,0.2,0.0006,0.65,0.759934208,-3.238880118
153,0,3,1858.13,0.2,0.0064,0.29,0.957026645,-2.489285865
154,0,6,20786.59,0.2,0.0768,0.46,0.887918915,-1.426930252
155,0,3,64230.53,0.2,0.0064,0.68,0.733212111,-2.489285865
156,0,4,67715.75,0.2,0.0148,0.73,0.683447145,-2.175402064
157,0,4,47260.76,0.2,0.0148,0.63,0.776595133,-2.175402064
158,0,3,546.65,0.2,0.0064,0.62,0.78460181,-2.489285865
159,0,2,20794.38,0.2,0.0006,0.55,0.835164654,-3.238880118
160,0,3,4097.88,0.2,0.0064,0.61,0.792401413,-2.489285865
161,0,3,346235.35,0.2,0.0064,0.24,0.970772888,-2.489285865
162,0,2,69685.65,0.2,0.0006,0.21,0.977701386,-3.238880118
163,0,5,51454.85,0.2,0.0568,0.78,0.625779514,-1.582217179
164,0,4,128823.55,0.2,0.0148,0.26,0.965608616,-2.175402064
165,0,3,28432.3,0.2,0.0064,0.22,0.975499872,-2.489285865
166,0,2,23019.01,0.2,0.0006,0.64,0.768374908,-3.238880118
167,0,4,433399.81,0.2,0.0148,0.54,0.841665017,-2.175402064
168,0,2,213327.21,0.2,0.0006,0.39,0.920814857,-3.238880118
169,0,3,124514.11,0.2,0.0064,0.62,0.78460181,-2.489285865
170,0,3,59666.12,0.2,0.0064,0.29,0.957026645,-2.489285865
171,0,2,30271.57,0.2,0.0006,0.54,0.841665017,-3.238880118
172,0,3,97198.07,0.2,0.0064,0.77,0.638043886,-2.489285865
173,0,2,275837.32,0.2,0.0006,0.47,0.882666415,-3.238880118
174,0,4,177269.94,0.2,0.0148,0.49,0.871722433,-2.175402064
175,0,3,5431.19,0.2,0.0064,0.59,0.807403245,-2.489285865
176,0,3,107486.98,0.2,0.0064,0.41,0.912085522,-2.489285865
177,0,3,91735.65,0.2,0.0064,0.43,0.902828887,-2.489285865
178,0,2,175300.73,0.2,0.0006,0.29,0.957026645,-3.238880118
179,0,3,73579.8,0.2,0.0064,0.44,0.897997773,-2.489285865
180,0,3,146560.06,0.2,0.0064,0.36,0.932952303,-2.489285865
181,0,2,11160.46,0.2,0.0006,0.76,0.649923072,-3.238880118
182,0,2,51530.91,0.2,0.0006,0.69,0.723809367,-3.238880118
183,0,4,222884.63,0.2,0.0148,0.21,0.977701386,-2.175402064
184,0,4,68393.19,0.2,0.0148,0.51,0.860174401,-2.175402064
185,0,4,61600.31,0.2,0.0148,0.3,0.953939201,-2.175402064
186,0,2,37026.14,0.2,0.0006,0.46,0.887918915,-3.238880118
187,0,3,56631.7,0.2,0.0064,0.68,0.733212111,-2.489285865
188,0,3,43555.2,0.2,0.0064,0.51,0.860174401,-2.489285865
189,0,3,292335.97,0.2,0.0064,0.8,0.6,-2.489285865
190,0,2,173458.62,0.2,0.0006,0.39,0.920814857,-3.238880118
191,0,2,594944.43,0.2,0.0006,0.34,0.940425436,-3.238880118
192,0,2,124781.45,0.2,0.0006,0.26,0.965608616,-3.238880118
193,0,3,81314.51,0.2,0.0064,0.79,0.613106842,-2.489285865
194,0,3,3435.85,0.2,0.0064,0.42,0.907524104,-2.489285865
195,0,3,43034.36,0.2,0.0064,0.71,0.704201676,-2.489285865
196,0,3,53109.74,0.2,0.0064,0.33,0.943980932,-2.489285865
197,0,3,24833.91,0.2,0.0064,0.56,0.828492607,-2.489285865
198,0,3,46542.26,0.2,0.0064,0.39,0.920814857,-2.489285865
199,0,2,184768.05,0.2,0.0006,0.21,0.977701386,-3.238880118
200,0,3,14569.45,0.2,0.0064,0.57,0.821644692,-2.489285865
201,0,2,19534.59,0.2,0.0006,0.46,0.887918915,-3.238880118
202,0,3,286304.59,0.2,0.0064,0.36,0.932952303,-2.489285865
203,0,4,24643.16,0.2,0.0148,0.5,0.866025404,-2.175402064
204,0,2,137540.77,0.2,0.0006,0.49,0.871722433,-3.238880118
205,0,3,77079.69,0.2,0.0064,0.8,0.6,-2.489285865
206,0,5,280278.82,0.2,0.0568,0.41,0.912085522,-1.582217179
207,0,4,38856.22,0.2,0.0148,0.41,0.912085522,-2.175402064
208,0,4,82997.65,0.2,0.0148,0.24,0.970772888,-2.175402064
209,0,2,212009.44,0.2,0.0006,0.49,0.871722433,-3.238880118
210,0,2,182746.17,0.2,0.0006,0.39,0.920814857,-3.238880118
211,0,3,103680.32,0.2,0.0064,0.24,0.970772888,-2.489285865
212,0,3,55551.8,0.2,0.0064,0.68,0.733212111,-2.489285865
213,0,5,25971.72,0.2,0.0568,0.34,0.940425436,-1.582217179
214,0,6,98231.34,0.2,0.0768,0.51,0.860174401,-1.426930252
215,0,3,36331.53,0.2,0.0064,0.53,0.847997642,-2.489285865
216,0,4,71051.63,0.2,0.0148,0.43,0.902828887,-2.175402064
217,0,4,306.85,0.2,0.0148,0.6,0.8,-2.175402064
218,0,2,158411.37,0.2,0.0006,0.65,0.759934208,-3.238880118
219,0,3,21076.95,0.2,0.0064,0.5,0.866025404,-2.489285865
220,0,3,47790.19,0.2,0.0064,0.29,0.957026645,-2.489285865
221,0,4,27317.91,0.2,0.0148,0.54,0.841665017,-2.175402064
222,0,3,50528.16,0.2,0.0064,0.71,0.704201676,-2.489285865
223,0,4,81228.83,0.2,0.0148,0.35,0.9367497,-2.175402064
224,0,4,4815.68,0.2,0.0148,0.4,0.916515139,-2.175402064
225,0,3,114551.69,0.2,0.0064,0.27,0.962860322,-2.489285865
226,0,2,16544.65,0.2,0.0006,0.58,0.814616474,-3.238880118
227,0,4,195156.05,0.2,0.0148,0.57,0.821644692,-2.175402064
228,0,3,6192.93,0.2,0.0064,0.27,0.962860322,-2.489285865
229,0,1,38388.33,0.2,0.0002,0.7,0.714142843,-3.540083799
230,0,3,6884.43,0.2,0.0064,0.26,0.965608616,-2.489285865
231,0,3,211916.78,0.2,0.0064,0.71,0.704201676,-2.489285865
232,0,4,137944.66,0.2,0.0148,0.76,0.649923072,-2.175402064
233,0,2,291705.04,0.2,0.0006,0.31,0.950736557,-3.238880118
234,0,2,66277.22,0.2,0.0006,0.57,0.821644692,-3.238880118
235,0,2,180148.38,0.2,0.0006,0.2,0.979795897,-3.238880118
236,0,4,9693.36,0.2,0.0148,0.25,0.968245837,-2.175402064
237,0,3,7520.74,0.2,0.0064,0.32,0.947417543,-2.489285865
238,0,4,143196.33,0.2,0.0148,0.66,0.751265599,-2.175402064
239,0,5,253441.08,0.2,0.0568,0.66,0.751265599,-1.582217179
240,0,3,59284.32,0.2,0.0064,0.22,0.975499872,-2.489285865
241,0,3,37394.87,0.2,0.0064,0.23,0.973190629,-2.489285865
242,0,1,201267.51,0.2,0.0002,0.7,0.714142843,-3.540083799
243,0,2,147244.21,0.2,0.0006,0.46,0.887918915,-3.238880118
244,0,4,22962.2,0.2,0.0148,0.62,0.78460181,-2.175402064
245,0,3,37566.56,0.2,0.0064,0.47,0.882666415,-2.489285865
246,0,3,58383.76,0.2,0.0064,0.29,0.957026645,-2.489285865
247,0,2,25355.04,0.2,0.0006,0.37,0.929031754,-3.238880118
248,0,3,1203.1,0.2,0.0064,0.32,0.947417543,-2.489285865
249,0,2,37516.56,0.2,0.0006,0.69,0.723809367,-3.238880118
250,0,2,44721.03,0.2,0.0006,0.34,0.940425436,-3.238880118
251,0,3,106775.44,0.2,0.0064,0.62,0.78460181,-2.489285865
252,0,2,104581.23,0.2,0.0006,0.64,0.768374908,-3.238880118
253,0,3,161460.83,0.2,0.0064,0.24,0.970772888,-2.489285865
254,0,3,343248.96,0.2,0.0064,0.48,0.877268488,-2.489285865
255,0,3,17294.27,0.2,0.0064,0.68,0.733212111,-2.489285865
256,0,6,206024.15,0.2,0.0768,0.79,0.613106842,-1.426930252
257,0,3,122343.91,0.2,0.0064,0.68,0.733212111,-2.489285865
258,0,3,112095.88,0.2,0.0064,0.37,0.929031754,-2.489285865
259,0,5,94579.89,0.2,0.0568,0.77,0.638043886,-1.582217179
260,0,6,111066.63,0.2,0.0768,0.69,0.723809367,-1.426930252
261,0,3,84635.33,0.2,0.0064,0.26,0.965608616,-2.489285865
262,0,3,1874.25,0.2,0.0064,0.8,0.6,-2.489285865
263,0,3,160127.36,0.2,0.0064,0.47,0.882666415,-2.489285865
264,0,3,80780.87,0.2,0.0064,0.49,0.871722433,-2.489285865
265,0,2,11700.53,0.2,0.0006,0.65,0.759934208,-3.238880118
266,0,2,69476.56,0.2,0.0006,0.67,0.742361098,-3.238880118
267,0,4,150368.02,0.2,0.0148,0.51,0.860174401,-2.175402064
268,0,3,131373.32,0.2,0.0064,0.52,0.85416626,-2.489285865
269,0,3,3270.43,0.2,0.0064,0.34,0.940425436,-2.489285865
270,0,2,411488.6,0.2,0.0006,0.4,0.916515139,-3.238880118
271,0,2,54763.93,0.2,0.0006,0.6,0.8,-3.238880118
272,0,1,260094.52,0.2,0.0002,0.36,0.932952303,-3.540083799
273,0,3,3402.58,0.2,0.0064,0.75,0.661437828,-2.489285865
274,0,3,47324.22,0.2,0.0064,0.35,0.9367497,-2.489285865
275,0,3,76070.26,0.2,0.0064,0.67,0.742361098,-2.489285865
276,0,3,62492.18,0.2,0.0064,0.51,0.860174401,-2.489285865
277,0,3,75483.68,0.2,0.0064,0.51,0.860174401,-2.489285865
278,0,3,30739.64,0.2,0.0064,0.49,0.871722433,-2.489285865
279,0,3,43130.34,0.2,0.0064,0.69,0.723809367,-2.489285865
280,0,2,106803.71,0.2,0.0006,0.73,0.683447145,-3.238880118
281,0,4,24324.93,0.2,0.0148,0.4,0.916515139,-2.175402064
282,0,2,507255.77,0.2,0.0006,0.5,0.866025404,-3.238880118
283,0,2,63113.63,0.2,0.0006,0.62,0.78460181,-3.238880118
284,0,2,380039.24,0.2,0.0006,0.54,0.841665017,-3.238880118
285,0,3,44289.7,0.2,0.0064,0.2,0.979795897,-2.489285865
286,0,6,252698.02,0.2,0.0768,0.23,0.973190629,-1.426930252
287,0,3,35096.01,0.2,0.0064,0.66,0.751265599,-2.489285865
288,0,4,2357.09,0.2,0.0148,0.43,0.902828887,-2.175402064
289,0,3,190761.39,0.2,0.0064,0.75,0.661437828,-2.489285865
290,0,3,25642.07,0.2,0.0064,0.52,0.85416626,-2.489285865
291,0,2,16431.35,0.2,0.0006,0.79,0.613106842,-3.238880118
292,0,5,53179.76,0.2,0.0568,0.65,0.759934208,-1.582217179
293,0,3,298472.45,0.2,0.0064,0.34,0.940425436,-2.489285865
294,0,3,77976.57,0.2,0.0064,0.28,0.96,-2.489285865
295,0,4,132969.18,0.2,0.0148,0.43,0.902828887,-2.175402064
296,0,3,138877.26,0.2,0.0064,0.31,0.950736557,-2.489285865
297,0,1,59614.75,0.2,0.0002,0.79,0.613106842,-3.540083799
298,0,4,52109.43,0.2,0.0148,0.75,0.661437828,-2.175402064
299,0,3,80640.85,0.2,0.0064,0.37,0.929031754,-2.489285865
300,0,2,34631.66,0.2,0.0006,0.34,0.940425436,-3.238880118
301,0,3,98823.86,0.2,0.0064,0.76,0.649923072,-2.489285865
302,0,3,763.17,0.2,0.0064,0.62,0.78460181,-2.489285865
303,0,3,15246.93,0.2,0.0064,0.79,0.613106842,-2.489285865
304,0,4,112914.45,0.2,0.0148,0.59,0.807403245,-2.175402064
305,0,2,40970.59,0.2,0.0006,0.57,0.821644692,-3.238880118
306,0,3,95424.24,0.2,0.0064,0.75,0.661437828,-2.489285865
307,0,1,92683.74,0.2,0.0002,0.75,0.661437828,-3.540083799
308,0,6,29461.95,0.2,0.0768,0.22,0.975499872,-1.426930252
309,0,2,21538.12,0.2,0.0006,0.23,0.973190629,-3.238880118
310,0,2,49730.58,0.2,0.0006,0.27,0.962860322,-3.238880118
311,0,2,33369.84,0.2,0.0006,0.26,0.965608616,-3.238880118
312,0,1,47123.68,0.2,0.0002,0.7,0.714142843,-3.540083799
313,0,1,22540.69,0.2,0.0002,0.53,0.847997642,-3.540083799
314,0,2,112242.94,0.2,0.0006,0.54,0.841665017,-3.238880118
315,0,4,29446.4,0.2,0.0148,0.64,0.768374908,-2.175402064
316,0,2,43805.03,0.2,0.0006,0.25,0.968245837,-3.238880118
317,0,3,27522.94,0.2,0.0064,0.61,0.792401413,-2.489285865
318,0,2,138716.47,0.2,0.0006,0.56,0.828492607,-3.238880118
319,0,3,118219.73,0.2,0.0064,0.78,0.625779514,-2.489285865
320,0,2,10163.72,0.2,0.0006,0.8,0.6,-3.238880118
321,0,3,178177.84,0.2,0.0064,0.57,0.821644692,-2.489285865
322,0,3,10098.66,0.2,0.0064,0.38,0.924986486,-2.489285865
323,0,4,187051.17,0.2,0.0148,0.62,0.78460181,-2.175402064
324,0,3,63122.83,0.2,0.0064,0.74,0.672606869,-2.489285865
325,0,3,159810.91,0.2,0.0064,0.22,0.975499872,-2.489285865
326,0,3,95613.66,0.2,0.0064,0.43,0.902828887,-2.489285865
327,0,3,434917.42,0.2,0.0064,0.48,0.877268488,-2.489285865
328,0,3,10841.35,0.2,0.0064,0.32,0.947417543,-2.489285865
329,0,4,173837.14,0.2,0.0148,0.3,0.953939201,-2.175402064
330,0,3,6758.09,0.2,0.0064,0.66,0.751265599,-2.489285865
331,0,4,35876.25,0.2,0.0148,0.34,0.940425436,-2.175402064
332,0,4,220227.57,0.2,0.0148,0.26,0.965608616,-2.175402064
333,0,3,62968.37,0.2,0.0064,0.79,0.613106842,-2.489285865
334,0,3,4103.86,0.2,0.0064,0.26,0.965608616,-2.489285865
335,0,4,461059.53,0.2,0.0148,0.44,0.897997773,-2.175402064
336,0,3,132473.16,0.2,0.0064,0.21,0.977701386,-2.489285865
337,0,4,47305.9,0.2,0.0148,0.7,0.714142843,-2.175402064
338,0,3,227019.3,0.2,0.0064,0.31,0.950736557,-2.489285865
339,0,3,303128.22,0.2,0.0064,0.73,0.683447145,-2.489285865
340,0,4,333542.75,0.2,0.0148,0.46,0.887918915,-2.175402064
341,0,3,96436.27,0.2,0.0064,0.79,0.613106842,-2.489285865
342,0,2,33747.89,0.2,0.0006,0.64,0.768374908,-3.238880118
343,0,3,65119.43,0.2,0.0064,0.77,0.638043886,-2.489285865
344,0,3,62450.77,0.2,0.0064,0.46,0.887918915,-2.489285865
345,0,4,79911.6,0.2,0.0148,0.32,0.947417543,-2.175402064
346,0,6,20217.93,0.2,0.0768,0.28,0.96,-1.426930252
347,0,1,296624.85,0.2,0.0002,0.33,0.943980932,-3.540083799
348,0,3,219702.94,0.2,0.0064,0.58,0.814616474,-2.489285865
349,0,3,78260.03,0.2,0.0064,0.74,0.672606869,-2.489285865
350,0,4,97030.51,0.2,0.0148,0.31,0.950736557,-2.175402064
351,0,3,39650.35,0.2,0.0064,0.43,0.902828887,-2.489285865
352,0,2,68653.42,0.2,0.0006,0.65,0.759934208,-3.238880118
353,0,6,190936.24,0.2,0.0768,0.48,0.877268488,-1.426930252
354,0,3,27265.98,0.2,0.0064,0.23,0.973190629,-2.489285865
355,0,4,119068.61,0.2,0.0148,0.2,0.979795897,-2.175402064
356,0,3,85890.25,0.2,0.0064,0.6,0.8,-2.489285865
357,0,4,74016.08,0.2,0.0148,0.56,0.828492607,-2.175402064
358,0,2,64011.45,0.2,0.0006,0.5,0.866025404,-3.238880118
359,0,6,17073.14,0.2,0.0768,0.75,0.661437828,-1.426930252
360,0,3,67127.06,0.2,0.0064,0.36,0.932952303,-2.489285865
361,0,3,30272.86,0.2,0.0064,0.66,0.751265599,-2.489285865
362,0,3,37606.67,0.2,0.0064,0.71,0.704201676,-2.489285865
363,0,4,458784.96,0.2,0.0148,0.47,0.882666415,-2.175402064
364,0,2,36779.89,0.2,0.0006,0.76,0.649923072,-3.238880118
365,0,3,137519.82,0.2,0.0064,0.31,0.950736557,-2.489285865
366,0,2,76795.02,0.2,0.0006,0.49,0.871722433,-3.238880118
367,0,3,262752.45,0.2,0.0064,0.46,0.887918915,-2.489285865
368,0,3,110632.01,0.2,0.0064,0.53,0.847997642,-2.489285865
369,0,3,56794.31,0.2,0.0064,0.38,0.924986486,-2.489285865
370,0,3,162589.63,0.2,0.0064,0.61,0.792401413,-2.489285865
371,0,4,26082.54,0.2,0.0148,0.58,0.814616474,-2.175402064
372,0,2,297435.39,0.2,0.0006,0.75,0.661437828,-3.238880118
373,0,2,275916.23,0.2,0.0006,0.55,0.835164654,-3.238880118
374,0,4,160930.59,0.2,0.0148,0.56,0.828492607,-2.175402064
375,0,2,31851.46,0.2,0.0006,0.57,0.821644692,-3.238880118
376,0,3,187528.07,0.2,0.0064,0.21,0.977701386,-2.489285865
377,0,4,109988.97,0.2,0.0148,0.63,0.776595133,-2.175402064
